n,theta,r,t,toughness_cid1,toughness_cid2,toughness_cid3,toughness_mean,toughness_median,toughness_std
6,0,1.5,0.7,1.14466667,1.276972545,0.984718805,1.1354526733333332,1.14466667,0.14634457775034548
6,0,1.5,1.05,1.60756105,1.40763682,1.204278305,1.4064920583333331,1.40763682,0.2016438096325767
6,0,1.5,1.4,1.144337785,1.22198518,1.66416987,1.3434976116666668,1.22198518,0.2804109527747117
6,0,1.7,0.7,3.64273758,2.57058053,3.09425671,3.10252494,3.09425671,0.5361263448914586
6,0,1.7,1.05,3.748405035,2.907952235,2.933434265,3.196597178333333,2.933434265,0.47804943936012073
6,0,1.7,1.4,2.661723075,2.61173793,2.328659075,2.5340400266666667,2.61173793,0.17961244433723675
6,0,1.9,0.7,5.62889179,3.623287735,3.576849065,4.276342863333333,3.623287735,1.171571844484241
6,0,1.9,1.05,6.545940435,4.861726245,2.966058095,4.791241591666666,4.861726245,1.7909817019801204
6,0,1.9,1.4,5.13711498,4.685755775,6.652394795,5.491755183333333,5.13711498,1.0301672262850687
6,0,2.1,0.7,6.113001335,17.24322518,17.42102897,13.592418494999999,17.24322518,6.477975326976125
6,0,2.1,1.05,7.63448638,9.14252845,6.771103375,7.849372734999999,7.63448638,1.2002276162289296
6,0,2.1,1.4,2.06551135,7.22210682,7.735849185,5.674489118333334,7.22210682,3.1360043373123916
6,0,2.3,0.7,22.63629481,21.77185393,5.017847775,16.47533217166667,21.77185393,9.931881797204841
6,0,2.3,1.05,11.98794863,23.58202299,32.23955734,22.60317632,23.58202299,10.161226276304673
6,0,2.3,1.4,2.18745377,1.90549201,2.02903116,2.04065898,2.02903116,0.14134006216936051
6,0,2.5,0.7,27.27353061,24.97148829,30.26843881,27.504485903333336,27.27353061,2.656017029966314
6,0,2.5,1.05,27.71493771,30.27901031,11.31234055,23.10209619,27.71493771,10.290401868377229
6,0,2.5,1.4,1.724510655,1.921319615,36.25217858,13.299336283333332,1.921319615,19.877988091439782
6,25,1.6,0.7,1.321202445,1.45386602,2.09663152,1.6238999949999997,1.45386602,0.4147363344096636
6,25,1.6,1.05,1.901228995,1.67985751,1.83385039,1.804978965,1.83385039,0.11347467990227729
6,25,1.6,1.4,1.464165225,2.359961675,1.696675845,1.8402675816666667,1.696675845,0.46484057491505915
6,25,1.8,0.7,2.77622403,2.30229922,1.504651125,2.1943914583333335,2.30229922,0.6426176755688153
6,25,1.8,1.05,2.725128695,3.318807365,4.24364418,3.4291934133333335,3.318807365,0.7652523304741929
6,25,1.8,1.4,3.181724645,2.73639597,2.45040998,2.7895101983333332,2.73639597,0.3685391780389159
6,25,2.0,0.7,4.561826505,4.76432071,3.88626849,4.404138568333333,4.561826505,0.45977498767263864
6,25,2.0,1.05,4.80682388,4.69724476,2.940354025,4.148140888333333,4.69724476,1.0474080992217993
6,25,2.0,1.4,5.21743359,5.22735781,6.44899864,5.631263346666667,5.22735781,0.7081969217723746
6,25,2.2,0.7,5.9481448,7.4399274,12.36841071,8.585494303333332,7.4399274,3.35993991557685
6,25,2.2,1.05,10.57081004,11.05566429,7.9235667,9.850013676666668,10.57081004,1.6858734757884024
6,25,2.2,1.4,7.91761853,8.14951516,4.150184395,6.739106028333333,7.91761853,2.24506802333634
6,25,2.4,0.7,9.40534553,14.67360446,18.73687729,14.271942426666664,14.67360446,4.678714624631243
6,25,2.4,1.05,25.05585347,14.64715217,11.42302692,17.042010853333334,14.64715217,7.124956211826779
6,25,2.4,1.4,2.401968915,24.38383386,2.25998876,9.681930511666666,2.401968915,12.732419689081278
6,50,1.5,0.7,0.911408525,0.581434425,0.503617945,0.665486965,0.581434425,0.2164992179997951
6,50,1.5,1.05,0.80713156,0.780913535,0.77442139,0.7874888283333333,0.780913535,0.017318044553925757
6,50,1.5,1.4,0.600585055,0.724918585,0.615132955,0.646878865,0.615132955,0.06797469214245325
6,50,1.7,0.7,1.280064085,1.019549845,0.857033345,1.0522157583333334,1.019549845,0.21339880076200649
6,50,1.7,1.05,1.856575375,1.279980775,1.78397391,1.6401766866666667,1.78397391,0.3140438890761487
6,50,1.7,1.4,1.22887476,0.890335145,1.47492584,1.1980452483333333,1.22887476,0.2935122046224818
6,50,1.9,0.7,1.670555225,2.180233015,1.31915937,1.7233158699999997,1.670555225,0.432954639395409
6,50,1.9,1.05,1.733336745,2.433453355,1.898873585,2.0218878950000003,1.898873585,0.36591010815233727
6,50,1.9,1.4,3.17129197,1.64671733,2.720035715,2.5126816716666664,2.720035715,0.7831530710517541
6,50,2.1,0.7,16.00978343,4.20246107,3.17734853,7.796531009999999,4.20246107,7.131328797348584
6,50,2.1,1.05,4.159978755,4.046561015,2.592669905,3.5997365583333334,4.046561015,0.8739870302977482
6,50,2.1,1.4,4.324624925,4.59804905,3.74722125,4.223298408333334,4.324624925,0.4343699846306836
6,50,2.3,0.7,3.208368345,4.73968986,6.059289655,4.669115953333333,4.73968986,1.4267703340691085
6,50,2.3,1.05,8.36155203,4.08230125,8.212267235,6.8853735050000004,8.212267235,2.4286790725757976
6,50,2.3,1.4,10.26593447,17.49258419,5.749600085,11.169372914999999,10.26593447,5.923391738733702
6,50,2.5,0.7,6.389414035,8.01391438,6.19458219,6.865970201666666,6.389414035,0.9989102759425237
6,50,2.5,1.05,23.65177359,22.65485255,24.14959018,23.485405440000005,23.65177359,0.7611300261028471
6,50,2.5,1.4,8.263866695,10.29284302,21.12649344,13.227734385,10.29284302,6.9153439674799255
6,75,1.6,0.7,0.56218211,0.316275755,0.421248255,0.43323537333333334,0.421248255,0.123390648396868
6,75,1.6,1.05,0.62222879,1.00228558,0.74635778,0.7902907166666666,0.74635778,0.1937998144978318
6,75,1.6,1.4,1.129298705,1.259409195,1.690187665,1.359631855,1.259409195,0.2935686334497899
6,75,1.8,0.7,0.49796538,0.85857833,0.874340925,0.7436282116666666,0.85857833,0.21289618361339233
6,75,1.8,1.05,0.955209465,0.368262385,0.737498875,0.6869902416666666,0.737498875,0.29671545327305154
6,75,1.8,1.4,1.307267365,2.12653032,0.764132035,1.3993099066666668,1.307267365,0.6858470265664789
6,75,2.0,0.7,0.70437207,1.450135035,1.16090386,1.1051369883333333,1.16090386,0.37599608770971626
6,75,2.0,1.05,1.844288285,1.93924519,2.33812806,2.040553845,1.93924519,0.26204391526315657
6,75,2.0,1.4,14.5440842,2.47596343,4.505327385,7.175125005000001,4.505327385,6.461868865014563
6,75,2.2,0.7,2.28417177,2.43745487,3.738256045,2.819960895,2.43745487,0.7989514466296087
6,75,2.2,1.05,13.167347,3.764273615,4.35728777,7.096302795,4.35728777,5.266032638647965
6,75,2.2,1.4,1.245206375,17.23894601,11.99178691,10.158646431666666,11.99178691,8.152927688138819
6,75,2.4,0.7,2.414646575,2.74980348,3.55753965,2.907329901666666,2.74980348,0.5875049577348834
6,75,2.4,1.05,4.68270893,6.161012775,19.44473814,10.096153281666666,6.161012775,8.129783189275706
6,75,2.4,1.4,17.76211779,16.50240024,18.85629444,17.70693749,17.76211779,1.1779168584112703
6,100,1.5,0.7,1.761419435,1.043984375,1.297602915,1.3676689083333333,1.297602915,0.36381341219867225
6,100,1.5,1.05,2.038989845,0.929859555,1.766962485,1.5786039616666667,1.766962485,0.5780585610758711
6,100,1.5,1.4,1.74145084,1.667230665,1.55379982,1.6541604416666666,1.667230665,0.09450581664769368
6,100,1.7,0.7,2.42913609,1.86839673,2.458336485,2.251956435,2.42913609,0.33249315969175103
6,100,1.7,1.05,2.639451635,1.58847147,2.608886545,2.27893655,2.608886545,0.5981555618785399
6,100,1.7,1.4,1.83067924,2.522915755,9.27425569,4.542616895,2.522915755,4.112311042824536
6,100,1.9,0.7,2.248745235,1.657600975,1.230991015,1.7124457416666665,1.657600975,0.5110889104695903
6,100,1.9,1.05,1.874484205,2.571962555,12.41231281,5.619586523333333,2.571962555,5.893001511654219
6,100,1.9,1.4,13.84331533,13.56843395,13.77882286,13.730190713333334,13.77882286,0.14374893924732896
6,100,2.1,0.7,16.77800679,1.67980929,13.02767408,10.495163386666666,13.02767408,7.86124034400026
6,100,2.1,1.05,14.0173637,13.92808819,14.89652844,14.28066011,14.0173637,0.535222270738225
6,100,2.1,1.4,13.71482183,15.59499058,17.55796323,15.62259188,15.59499058,1.9217193678890148
6,100,2.3,0.7,19.72634797,16.99064027,17.90994853,18.208978923333333,17.90994853,1.392152483409284
6,100,2.3,1.05,18.3145061,16.70905174,14.43700693,16.486854923333333,16.70905174,1.9482757819005678
6,100,2.3,1.4,17.49456493,14.64180982,16.11451264,16.083629130000002,16.11451264,1.4266282882377652
6,100,2.5,0.7,20.8723812,20.82913473,22.08445189,21.26198927333333,20.8723812,0.7126016637312188
6,100,2.5,1.05,19.19430635,19.53450837,20.04377174,19.590862153333333,19.53450837,0.42752739546600727
6,100,2.5,1.4,23.2304953,21.9617933,19.59464177,21.595643456666664,21.9617933,1.8453744887510333
6,125,1.6,0.7,1.4166949,1.58774253,1.085871695,1.363436375,1.4166949,0.2551390534978545
6,125,1.6,1.05,1.25473141,1.96536155,13.05591221,5.425335056666667,1.96536155,6.6178190945883815
6,125,1.6,1.4,1.077183595,1.07172349,13.9894676,5.379458228333333,1.077183595,7.456487342464112
6,125,1.8,0.7,0.92180845,13.29645001,0.71230218,4.976853546666667,0.92180845,7.205743348456404
6,125,1.8,1.05,19.82673045,14.75259793,13.82702867,16.135452349999998,14.75259793,3.230065033775472
6,125,1.8,1.4,13.35430999,2.021798275,13.68365648,9.686588248333335,13.35430999,6.639945126211679
6,125,2.0,0.7,0.93520637,1.64178562,1.39624755,1.3244131799999999,1.39624755,0.3587250920518571
6,125,2.0,1.05,17.48321147,17.50446985,18.96923443,17.985638583333333,17.50446985,0.8518853044072271
6,125,2.0,1.4,18.91401758,15.76786807,16.97832826,17.22007130333333,16.97832826,1.5869448506701027
6,125,2.2,0.7,16.74357002,20.49097717,20.71585045,19.316799213333336,20.49097717,2.2313165080466915
6,125,2.2,1.05,14.11770208,18.51707968,18.72782356,17.12086844,18.51707968,2.602952052020186
6,125,2.2,1.4,20.73650342,24.61952226,19.21279802,21.52294123333333,20.73650342,2.7878360923001337
6,125,2.4,0.7,24.20558826,22.96424488,21.46815411,22.87932908333333,22.96424488,1.3706912310178412
6,125,2.4,1.05,18.50428299,18.76875767,17.71837793,18.33047286333333,18.50428299,0.5463349427315896
6,125,2.4,1.4,11.64011261,21.97821605,20.38441493,18.00091453,20.38441493,5.565959153787879
6,150,1.5,0.7,0.9721676,0.735884685,0.720294875,0.8094490533333333,0.735884685,0.14113381811579803
6,150,1.5,1.05,0.73339565,0.937172305,0.91101892,0.8605289583333334,0.91101892,0.11087451669600805
6,150,1.5,1.4,1.241250395,17.35790708,18.74742944,12.448862305,17.35790708,9.73091037062388
6,150,1.7,0.7,13.11436394,1.01669435,0.88429715,5.00511848,1.01669435,7.023124568348472
6,150,1.7,1.05,1.247425855,14.79832094,15.54963513,10.531793975,14.79832094,8.049269332913275
6,150,1.7,1.4,16.19996728,19.47943298,19.01081895,18.23007307,19.01081895,1.7736676453670384
6,150,1.9,0.7,1.27661952,0.537630855,0.862449755,0.8922333766666667,0.862449755,0.3703935202447633
6,150,1.9,1.05,15.55778051,16.20815219,15.59957872,15.788503806666668,15.59957872,0.3640265743259838
6,150,1.9,1.4,19.00199987,17.5141618,16.0481957,17.52145245666667,17.5141618,1.476915581180359
6,150,2.1,0.7,16.41042719,14.95439099,14.10560919,15.156809123333332,14.95439099,1.1656656162071584
6,150,2.1,1.05,18.51288508,17.20666344,16.99550773,17.571685416666668,17.20666344,0.8219119710531575
6,150,2.1,1.4,17.18467533,14.66813147,16.09093879,15.981248530000002,16.09093879,1.261852691355087
6,150,2.3,0.7,18.49939449,14.02922575,17.37752817,16.635382803333332,17.37752817,2.3256583906427224
6,150,2.3,1.05,19.91431001,18.46880396,17.35029167,18.57780188,18.46880396,1.2854796466250777
6,150,2.3,1.4,18.03172451,14.86324414,15.50390773,16.132958793333334,15.50390773,1.675289794029508
6,150,2.5,0.7,20.95858163,20.19911768,17.94230795,19.70000242,20.19911768,1.5688574697017057
6,150,2.5,1.05,18.51341047,18.11758006,20.4220484,19.017679643333334,18.51341047,1.2322171610135535
6,150,2.5,1.4,20.43322464,17.82099566,16.39896448,18.21772826,17.82099566,2.046182134260749
6,175,1.6,0.7,14.9117021,14.39788533,15.46033752,14.923308316666668,14.9117021,0.5313211761335457
6,175,1.6,1.05,20.1909625,23.82705059,19.34627319,21.12142876,20.1909625,2.380896285611046
6,175,1.6,1.4,16.86847969,4.48566731,18.26674629,13.20696443,16.86847969,7.585153588600504
6,175,1.8,0.7,16.25303968,16.17696459,15.6975907,16.042531656666664,16.17696459,0.3011395897573315
6,175,1.8,1.05,18.12488509,17.10172416,17.38876143,17.538456893333333,17.38876143,0.5277510028190872
6,175,1.8,1.4,20.35152813,22.86955112,28.19387442,23.804984556666668,22.86955112,4.003982469853572
6,175,2.0,0.7,18.03436356,17.10096512,18.57465277,17.90332715,18.03436356,0.7455311717157744
6,175,2.0,1.05,17.5264161,17.30324628,17.13837747,17.322679949999998,17.30324628,0.19474790176102275
6,175,2.0,1.4,18.38228342,16.31177215,20.57800408,18.424019883333333,18.38228342,2.1334221732738605
6,175,2.2,0.7,21.11426736,19.72507122,19.21437316,20.017903913333335,19.72507122,0.983215506647474
6,175,2.2,1.05,19.70686035,19.31625969,17.07134424,18.698154759999998,19.31625969,1.422331385396917
6,175,2.2,1.4,13.48899982,12.40292786,16.37818041,14.09003603,13.48899982,2.054651212096288
6,175,2.4,0.7,22.93310771,20.67206613,22.75940737,22.121527070000003,22.75940737,1.2582709225235607
6,175,2.4,1.05,16.38889589,18.6453617,17.88724908,17.640502223333332,17.88724908,1.148291120047916
6,175,2.4,1.4,14.4047196,14.50308112,18.2698049,15.725868539999999,14.50308112,2.203662383386284
6,200,1.5,0.7,14.96221898,13.58270496,15.7409393,14.761954413333333,14.96221898,1.09296536499811
6,200,1.5,1.05,14.65657727,16.66536236,15.63951464,15.65381809,15.63951464,1.0044689273257803
6,200,1.5,1.4,20.22036666,17.34488347,20.37627403,19.313841386666667,20.22036666,1.7069485156876691
6,200,1.7,0.7,16.78959272,16.03773862,16.27981063,16.369047323333334,16.27981063,0.38378840198669906
6,200,1.7,1.05,25.21025957,21.38700344,26.36648259,24.321248533333335,25.21025957,2.6060618984988704
6,200,1.7,1.4,19.40045977,8.339999845,22.27744967,16.672636428333334,19.40045977,7.358253328311296
6,200,1.9,0.7,17.83614353,17.48027602,13.79168408,16.36936787666667,17.48027602,2.2394197324009664
6,200,1.9,1.05,24.39245006,19.64039634,19.49920548,21.177350626666666,19.64039634,2.7852525898744145
6,200,1.9,1.4,23.56283371,24.93052827,22.75615377,23.749838583333332,23.56283371,1.0991834394451063
6,200,2.1,0.7,21.86809238,20.23693665,20.23517058,20.780066536666666,20.23693665,0.9422584340677034
6,200,2.1,1.05,20.21042247,19.22200277,20.51055968,19.980994973333335,20.21042247,0.6742198897594446
6,200,2.1,1.4,20.31956724,26.0766163,7.20144772,17.865877086666668,20.31956724,9.673853614629412
6,200,2.3,0.7,24.84958171,20.90731185,23.40856053,23.055151363333334,23.40856053,1.9947547321861714
6,200,2.3,1.05,21.80051696,20.57744419,21.32481878,21.234259976666667,21.32481878,0.616544745192708
6,200,2.3,1.4,19.66597793,18.54291755,24.85532039,21.02140529,19.66597793,3.3674166507558048
6,200,2.5,0.7,25.99898896,25.09903317,25.13038982,25.40947065,25.13038982,0.5107785119244415
6,200,2.5,1.05,22.06231878,23.11410977,22.80520974,22.660546096666664,22.80520974,0.5406123832637861
6,200,2.5,1.4,21.03835901,22.99321612,18.87405486,20.96854333,21.03835901,2.060467918544618
8,0,1.5,0.7,2.166798125,1.9446332,1.79906466,1.9701653283333334,1.9446332,0.18519150224335063
8,0,1.5,1.05,1.994880795,1.96282795,1.584290705,1.84733315,1.96282795,0.2283644940042827
8,0,1.5,1.4,1.991507755,2.143893625,1.660902335,1.9321012383333336,1.991507755,0.24691495949175746
8,0,1.7,0.7,2.413471505,3.472810065,3.66459729,3.1836262866666662,3.472810065,0.6738318601189198
8,0,1.7,1.05,4.139476235,3.065404435,2.09191768,3.0989327833333333,3.065404435,1.0241909595602243
8,0,1.7,1.4,2.899414305,3.79572566,4.383226565,3.6927888433333336,3.79572566,0.7472427295736487
8,0,1.9,0.7,5.52009985,13.95284194,5.202961875,8.225301221666667,5.52009985,4.962729705909996
8,0,1.9,1.05,7.354356745,8.580193305,7.4669773,7.8005091166666665,7.4669773,0.6775702343704922
8,0,1.9,1.4,5.33195838,8.15384786,4.02889168,5.83823264,5.33195838,2.10856612215125
8,0,2.1,0.7,19.99789002,19.00737704,20.42346871,19.80957859,19.99789002,0.7265843381620132
8,0,2.1,1.05,8.488290225,20.68608874,19.61008402,16.261487661666667,19.61008402,6.753250723275161
8,0,2.1,1.4,1.915515405,1.62434588,1.70359334,1.7478182083333333,1.70359334,0.15053837486337804
8,0,2.3,0.7,25.3582639,21.89507745,4.988631565,17.413990971666667,21.89507745,10.899109247341993
8,0,2.3,1.05,2.185516945,1.757085215,1.61534906,1.8526504066666665,1.757085215,0.2968541454402453
8,0,2.3,1.4,1.437887965,1.424017165,1.9665795,1.6094948766666668,1.437887965,0.3093221151792923
8,0,2.5,0.7,31.09783404,24.46751917,35.57965442,30.38166921,31.09783404,5.59057747476679
8,0,2.5,1.05,1.890725635,1.540877455,2.239210555,1.890271215,1.890725635,0.34916677177540084
8,0,2.5,1.4,1.379164485,1.341181375,1.310974495,1.3437734516666666,1.341181375,0.034168813706864844
8,25,1.6,0.7,6.022568495,5.38905503,3.92030164,5.110641721666666,5.38905503,1.0784326405022853
8,25,1.6,1.05,5.899901415,5.90264023,6.31753358,6.040025075,5.90264023,0.240333316536435
8,25,1.6,1.4,5.25760901,6.89180886,2.70571583,4.9517112333333335,5.25760901,2.109744961193379
8,25,1.8,0.7,5.487119255,7.618696405,9.68552392,7.597113193333333,7.618696405,2.099285547285749
8,25,1.8,1.05,9.138851555,9.41505298,6.70508105,8.419661861666667,9.138851555,1.4912787554963196
8,25,1.8,1.4,12.00985826,11.90886521,10.12589473,11.348206066666668,11.90886521,1.0597564115611495
8,25,2.0,0.7,9.76006525,11.78357118,6.35420248,9.299279636666666,9.76006525,2.7438574409444367
8,25,2.0,1.05,10.70192285,15.01512353,13.3530951,13.023380493333335,13.3530951,2.1754215264805876
8,25,2.0,1.4,14.18665702,14.75295729,10.95345267,13.297688993333333,14.18665702,2.0498187611779373
8,25,2.2,0.7,13.1504635,17.04183149,10.01264335,13.401646113333333,13.1504635,3.5213194978317275
8,25,2.2,1.05,16.83781416,28.66445513,29.72036515,25.074211480000002,28.66445513,7.1524413386102985
8,25,2.2,1.4,19.7309444,33.7412304,18.59106074,24.021078513333332,19.7309444,8.437170628503724
8,25,2.4,0.7,22.05845141,21.58190069,13.43877417,19.026375423333334,21.58190069,4.8448674875451765
8,25,2.4,1.05,27.7911449,36.84660789,36.1300039,33.58925223,36.1300039,5.034075563325484
8,25,2.4,1.4,1.651555005,1.95455938,34.9592874,12.855133928333332,1.95455938,19.14335794569653
8,50,1.5,0.7,0.606925755,0.92954519,0.580645385,0.7057054433333333,0.606925755,0.1942957503464303
8,50,1.5,1.05,0.967633045,0.89535553,0.2835024,0.7154969916666668,0.89535553,0.3758596882023681
8,50,1.5,1.4,1.01771189,1.045444615,0.610162855,0.8911064533333334,1.01771189,0.2436991076970583
8,50,1.7,0.7,1.83865145,1.215050635,1.068200195,1.3739674266666668,1.215050635,0.40907174687087444
8,50,1.7,1.05,1.946333395,2.046947545,0.530468075,1.5079163383333334,1.946333395,0.8479885803565208
8,50,1.7,1.4,1.256027065,2.29423402,2.57808866,2.0427832483333335,2.29423402,0.6959758136403216
8,50,1.9,0.7,2.446088645,2.313059155,1.7688226,2.1759901333333334,2.313059155,0.3588359812685712
8,50,1.9,1.05,1.75677089,3.07566036,0.99036637,1.9409325400000002,1.75677089,1.0547745688916528
8,50,1.9,1.4,2.89525274,2.679152695,4.16800253,3.247469321666667,2.89525274,0.8044941566572099
8,50,2.1,0.7,4.16988717,4.166636315,2.552720965,3.6297481499999997,4.166636315,0.9327343190514253
8,50,2.1,1.05,3.47753655,6.51946287,6.37566581,5.457555076666666,6.37566581,1.716253018372754
8,50,2.1,1.4,4.749716225,4.755243245,4.02354012,4.509499863333333,4.749716225,0.4208625560595402
8,50,2.3,0.7,6.054145875,6.201702715,3.08157811,5.112475566666666,6.054145875,1.7603555364979675
8,50,2.3,1.05,5.279049785,6.793946615,19.8553271,10.6427745,6.793946615,8.014179443786562
8,50,2.3,1.4,9.993393195,9.51737332,10.78723802,10.099334845,9.993393195,0.6415269394032211
8,50,2.5,0.7,7.144120635,10.71189652,4.478213675,7.44474361,7.144120635,3.1276958104705788
8,50,2.5,1.05,23.23553062,23.17921309,21.22377998,22.546174563333334,23.17921309,1.1455734335119379
8,50,2.5,1.4,1.789061775,1.798908325,2.090443795,1.8928046316666667,1.798908325,0.17123132832239157
